PL,PW,INL,ML,Frequency,S11
29.5,38.5,7.33333,20,2.4010000228882,-34.228502751956
29.5,38.5,8.66667,14,2.3740000724792,-31.229659232517
29.5,38.5,8.66667,16,2.385999917984,-29.938775328873
29.5,38.5,8.66667,18,2.3889999389648,-17.733632355024
29.5,38.5,10.0,14,2.3710000514984,-14.197619637911
29.5,40.75,6.0,18,2.3889999389648,-14.139438059126
29.5,40.75,6.0,20,2.4010000228882,-19.689789166597
29.5,40.75,7.33333,14,2.3559999465942,-18.894651008479
29.5,40.75,7.33333,16,2.3740000724792,-19.989615212342
29.5,40.75,7.33333,18,2.385999917984,-32.63787052105
29.5,40.75,7.33333,20,2.3889999389648,-22.181985853077
29.5,40.75,8.66667,14,2.3650000095367,-28.483143796349
29.5,40.75,8.66667,16,2.3740000724792,-20.329514950969
29.5,40.75,8.66667,18,2.3770000934601,-14.446893913762
29.5,43.0,6.0,18,2.3800001144409,-17.22895352185
29.5,43.0,6.0,20,2.3889999389648,-26.850637141406
29.5,43.0,7.33333,16,2.3650000095367,-28.478963713018
29.5,43.0,7.33333,18,2.3740000724792,-27.567955238434
29.5,43.0,7.33333,20,2.3770000934601,-17.227911402878
29.5,43.0,8.66667,14,2.3559999465942,-19.641610484869
29.5,43.0,8.66667,16,2.3650000095367,-15.825734932838
31.25,34.0,6.0,14,2.2179999351502,-9.9877512033004
31.25,34.0,6.0,16,2.2300000190735,-8.3147399396911
31.25,34.0,6.0,18,2.2690000534058,-7.6664125409218
31.25,34.0,6.0,20,2.3050000667572,-8.6247681095924
31.25,34.0,7.33333,14,2.239000082016,-10.873564112402
31.25,34.0,7.33333,16,2.2599999904633,-9.7353344708764
31.25,34.0,7.33333,18,2.289999961853,-10.293498097258
31.25,34.0,8.66667,14,2.2539999485016,-13.668051647138
31.25,34.0,8.66667,16,2.2750000953674,-13.621194093108
31.25,34.0,8.66667,18,2.289999961853,-16.611548620388
31.25,34.0,10.0,14,2.2630000114441,-23.962983167496
31.25,34.0,10.0,16,2.2750000953674,-34.3691035924
31.25,34.0,10.0,20,2.2809998989105,-16.49012853506
31.25,36.25,6.0,14,2.2119998931885,-11.326841261792
31.25,36.25,6.0,16,2.2239999771118,-9.3676815757909
31.25,36.25,6.0,18,2.2569999694824,-8.7073960083853
31.25,36.25,6.0,20,2.289999961853,-9.7715530260455
31.25,36.25,7.33333,14,2.2300000190735,-12.62454240067
31.25,36.25,7.33333,16,2.2509999275208,-11.205138838562
31.25,36.25,7.33333,18,2.2780001163483,-11.872756262751
31.25,36.25,7.33333,20,2.289999961853,-14.786544631881
31.25,36.25,8.66667,14,2.2449998855591,-16.366876652026
31.25,36.25,8.66667,16,2.2630000114441,-16.349117496666
31.25,36.25,8.66667,18,2.2780001163483,-20.754160535417
31.25,36.25,8.66667,20,2.2809998989105,-42.614534847296
31.25,36.25,10.0,14,2.2539999485016,-45.828293523249
31.25,36.25,10.0,16,2.2630000114441,-27.593554996945
31.25,38.5,6.0,14,2.2090001106262,-12.999101618566
31.25,38.5,6.0,16,2.220999956131,-10.599898601595
31.25,38.5,6.0,18,2.2509999275208,-9.8276154376495
31.25,38.5,6.0,20,2.2780001163483,-11.087029037617
31.25,38.5,7.33333,14,2.2239999771118,-14.724094658474
31.25,38.5,7.33333,16,2.2420001029968,-13.0137666793
31.25,38.5,7.33333,18,2.2660000324249,-13.863722054609
31.25,38.5,7.33333,20,2.2780001163483,-17.667234722164
31.25,38.5,8.66667,14,2.239000082016,-20.487395578631
31.25,38.5,8.66667,16,2.2539999485016,-20.598301548757
31.25,38.5,8.66667,18,2.2660000324249,-28.850769972865
31.25,38.5,8.66667,20,2.2690000534058,-26.067156053887
31.25,38.5,10.0,14,2.2449998855591,-24.25744423179
31.25,38.5,10.0,16,2.2509999275208,-19.895290684936
31.25,40.75,6.0,16,2.2149999141693,-12.123752688989
31.25,40.75,6.0,18,2.2420001029968,-11.291888176324
31.25,40.75,6.0,20,2.2660000324249,-12.774009056308
31.25,40.75,7.33333,14,2.2179999351502,-17.706291738131
31.25,40.75,7.33333,16,2.2360000610352,-15.392757990902
31.25,40.75,7.33333,18,2.2539999485016,-16.549229960476
31.25,40.75,7.33333,20,2.2660000324249,-22.184459446859
31.25,40.75,8.66667,14,2.2300000190735,-28.777344519975
31.25,40.75,8.66667,16,2.2420001029968,-28.72166395895
31.25,40.75,8.66667,18,2.2539999485016,-33.189438974367
31.25,40.75,8.66667,20,2.2569999694824,-19.572010420973
31.25,40.75,10.0,14,2.2360000610352,-18.238890097194
31.25,40.75,10.0,16,2.2420001029968,-15.814785349653
31.25,43.0,6.0,18,2.2330000400543,-13.175968508937
31.25,43.0,6.0,20,2.2539999485016,-15.058542442661
31.25,43.0,7.33333,14,2.2119998931885,-22.386570275029
31.25,43.0,7.33333,16,2.2269999980927,-18.899853080648
31.25,43.0,7.33333,18,2.2449998855591,-20.698382579172
31.25,43.0,7.33333,20,2.2539999485016,-33.331251443114
31.25,43.0,8.66667,14,2.2239999771118,-32.208680750804
31.25,43.0,8.66667,16,2.2330000400543,-31.040627295791
31.25,43.0,8.66667,18,2.2420001029968,-21.738173258984
31.25,43.0,8.66667,20,2.2449998855591,-15.877511504173
31.25,43.0,10.0,14,2.2269999980927,-14.66726770021
31.25,43.0,10.0,16,2.2330000400543,-13.135011520318
33.0,34.0,6.0,14,2.1040000915527,-10.602745896926
33.0,34.0,6.0,16,2.1099998950958,-8.687076678283
33.0,34.0,6.0,18,2.1280000209808,-7.5200419973883
33.0,34.0,6.0,20,2.1670000553131,-7.1824769161989
33.0,34.0,7.33333,14,2.1159999370575,-11.20371437015
33.0,34.0,7.33333,16,2.1280000209808,-9.4895770635267
33.0,34.0,7.33333,18,2.1549999713898,-8.7836276187847
33.0,34.0,7.33333,20,2.1789999008179,-9.4296849783728
33.0,34.0,8.66667,14,2.1310000419617,-12.851385081942
33.0,34.0,8.66667,16,2.1489999294281,-11.509267167072
33.0,34.0,8.66667,18,2.170000076294,-11.94679729846
33.0,34.0,10.0,14,2.1429998874664,-17.671363237025
33.0,34.0,10.0,16,2.1549999713898,-17.379662739142
33.0,34.0,10.0,18,2.1670000553131,-20.962124972449
33.0,34.0,10.0,20,2.170000076294,-33.170989885518
33.0,36.25,6.0,14,2.0980000495911,-11.96171710179
33.0,36.25,6.0,16,2.1040000915527,-9.7594910525553
33.0,36.25,6.0,18,2.1219999790192,-8.3339250745093
33.0,36.25,6.0,20,2.1549999713898,-8.0756885911559
33.0,36.25,7.33333,14,2.1099998950958,-12.949357405771
